GEO_ID,NAME,Less than 9th grade,Less than 9th grade_MOE,9th to 12th grade (no diploma),9th to 12th grade (no diploma)_MOE,High school graduate (includes equivalency),High school graduate (includes equivalency)_MOE,Some college (no degree),Some college (no degree)_MOE,Associate's degree,Associate's degree_MOE,Bachelor's degree,Bachelor's degree_MOE,Graduate or professional degree,Graduate or professional degree_MOE
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,46,75,148,172,560,229,493,245,43,55,726,231,520,205
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,0,13,0,13,120,115,133,142,22,36,354,199,156,98
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,0,13,21,39,275,236,82,105,91,61,192,116,35,56
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,0,13,166,234,55,64,86,97,131,113,218,109,156,122
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,0,13,0,13,101,97,146,112,109,101,173,105,111,87
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,9,16,0,13,100,76,143,92,142,126,238,136,180,128
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,0,13,115,103,536,263,498,199,250,143,1016,299,725,241
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,7,22,17,26,287,143,792,325,93,82,493,173,450,323
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,0,13,0,13,235,142,240,130,31,37,296,132,500,225
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,0,13,88,87,188,105,326,207,104,64,1139,835,416,168
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,16,26,16,27,308,212,461,204,73,46,560,228,541,253
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,0,13,44,74,372,212,738,450,48,65,183,121,58,66
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,112,140,18,22,403,198,981,538,0,13,453,359,172,211
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,0,13,5,50,95,133,176,103,68,66,56,72,68,91
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,0,13,19,33,116,103,414,164,100,92,90,82,73,90
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,0,13,55,83,275,193,270,196,23,41,404,232,119,81
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,0,13,0,13,76,92,207,142,29,45,707,321,167,106
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,0,13,20,32,116,93,322,298,62,94,968,324,380,169
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,28,47,0,13,251,233,261,180,208,172,323,170,316,148
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,20,33,0,13,55,64,38,50,52,65,691,248,204,120
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,0,13,29,43,186,81,383,395,153,87,309,185,242,204
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,34,50,0,13,194,86,254,109,115,61,542,183,334,133
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,46,43,40,56,203,106,386,158,232,126,525,184,307,139
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,0,13,101,117,216,105,692,231,103,82,533,254,376,148
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,14,26,19,31,154,89,144,115,95,67,317,130,222,151
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,17,25,82,69,365,261,202,116,32,30,496,152,336,107
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,13,22,47,57,168,79,247,149,151,130,891,273,564,219
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,0,13,32,30,216,165,220,125,197,102,666,225,505,129
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,9,16,25,32,189,98,192,115,201,122,363,184,109,106
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,0,13,152,106,978,364,591,176,266,113,918,326,446,228
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,0,13,70,86,442,157,391,157,67,55,567,215,342,150
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,117,120,266,170,604,444,252,145,73,51,323,146,159,92
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,2,4,49,54,354,203,383,181,223,122,217,156,114,82
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,23,35,43,44,179,98,186,107,123,105,137,108,95,91
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,163,205,355,364,207,144,852,584,145,93,388,147,348,92
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,43,53,35,35,243,129,111,71,49,43,48,48,20,23
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,33,45,40,44,387,160,231,124,102,95,174,100,12,20
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,0,13,82,73,372,132,456,186,165,81,389,135,182,100
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,1,4,28,35,298,171,394,199,172,122,373,177,223,128
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,0,13,44,47,133,124,593,378,132,104,1068,497,277,208
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,0,13,0,13,142,113,171,107,223,151,233,120,78,72
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,0,13,27,44,166,119,378,229,19,32,96,93,121,130
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,0,13,20,39,519,319,589,291,308,197,352,194,131,88
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,175,234,0,13,193,197,334,325,97,105,266,120,342,183
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,60,42,54,35,310,108,109,48,55,30,111,46,25,20
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,0,13,17,18,89,61,80,52,65,33,87,42,62,37
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,16,18,144,155,149,88,183,132,55,35,153,68,170,67
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,0,13,21,35,295,192,184,114,73,68,497,385,244,163
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,0,13,0,13,178,144,148,133,194,126,107,101,479,316
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,0,13,0,13,361,262,257,165,199,153,838,318,444,168
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,0,13,74,84,89,60,300,150,53,40,660,253,747,401
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,0,13,14,18,83,88,56,65,88,55,152,79,426,221
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,0,13,216,182,203,153,244,217,56,46,847,733,336,144
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,0,13,0,13,133,82,125,83,79,81,619,295,525,247
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,72,113,0,13,326,176,263,143,93,128,1051,464,791,225
