GEO_ID,NAME,Married,Married_MOE,Married (Children under 18),Married (Children under 18)_MOE,Married (No children under 18),Married (No children under 18)_MOE,Female (No spouse/partner present),Female (No spouse/partner present)_MOE,Female (Living alone),Female (Living alone)_MOE,"Female (No spouse/partner present, children under 18)","Female (No spouse/partner present, children under 18)_MOE",Male (No spouse/partner present),Male (No spouse/partner present)_MOE,Male (Living alone),Male (Living alone)_MOE,"Male (No spouse/partner present, children under 18)","Male (No spouse/partner present, children under 18)_MOE"
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,335,128,165,106,170,91,267,151,125,73,0,13,173,111,113,79,0,13
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,224,75,59,55,165,81,166,150,50,55,0,13,37,43,37,43,0,13
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,459,210,238,181,221,100,240,156,151,95,84,127,105,69,81,65,0,13
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,442,178,138,56,304,163,388,109,151,91,118,70,161,133,67,49,84,119
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,360,93,88,42,272,88,100,46,100,46,0,13,71,42,48,34,11,17
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,295,143,163,120,132,94,182,138,163,134,19,41,81,83,64,77,0,13
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,362,175,75,66,287,174,38,47,38,47,0,13,99,127,0,13,0,13
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,323,177,71,58,252,171,39,47,19,32,20,32,50,60,50,60,0,13
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,308,159,168,144,140,146,145,99,58,71,59,56,201,118,80,86,30,49
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,841,210,346,136,495,176,164,113,52,54,0,13,316,200,199,150,117,158
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,301,100,183,98,118,78,20,36,0,13,0,13,0,13,0,13,0,13
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,210,102,119,79,91,81,80,92,0,13,20,35,0,13,0,13,0,13
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,208,118,9,20,199,116,64,76,0,13,20,32,44,51,44,51,0,13
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,193,89,34,41,159,91,95,81,52,63,0,13,40,61,40,61,0,13
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,245,112,24,38,221,113,173,95,117,79,20,35,97,73,72,60,0,13
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,931,177,383,122,548,157,390,134,206,109,67,63,208,130,72,61,62,73
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,456,170,116,77,340,157,217,163,148,142,69,84,338,163,256,149,57,53
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,463,149,84,97,379,121,44,51,0,13,23,36,117,113,117,113,0,13
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,971,460,482,399,489,186,146,88,128,83,18,29,109,71,109,71,0,13
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,633,198,220,124,413,141,251,118,77,64,63,73,53,55,53,55,0,13
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,27,44,0,13,27,44,409,241,384,244,14,22,181,125,133,101,0,13
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,131,144,36,61,95,128,957,524,451,273,371,408,121,116,101,115,0,13
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,56,76,56,76,0,13,83,96,68,91,0,13,104,119,104,119,0,13
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,71,72,26,48,45,55,170,95,118,89,16,27,0,13,0,13,0,13
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,211,129,0,13,211,129,291,216,116,130,175,175,157,104,157,104,0,13
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,295,115,92,105,203,91,236,170,159,130,77,121,158,90,136,87,0,13
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,430,152,55,70,375,160,244,196,244,196,0,13,226,153,112,118,0,13
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,172,129,89,108,83,86,363,156,187,144,176,124,370,194,271,165,0,13
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,167,111,52,63,115,87,310,233,282,227,0,13,354,166,336,170,0,13
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,474,213,125,79,349,216,71,54,58,50,0,13,19,22,19,22,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,463,108,296,99,167,64,228,106,73,55,55,71,27,29,19,23,8,15
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,600,119,289,97,311,89,63,57,38,47,10,17,192,94,86,60,44,77
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,587,185,259,171,328,133,198,95,120,80,24,42,127,92,54,63,0,13
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,388,148,117,130,271,89,26,39,26,39,0,13,11,24,11,24,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,494,88,115,58,379,96,99,58,29,33,58,54,159,95,131,100,0,13
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,624,151,284,91,340,154,203,139,148,127,15,24,285,138,214,123,61,96
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,710,127,198,78,512,101,70,54,60,50,0,13,103,71,54,62,38,36
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,343,121,193,123,150,72,36,34,22,26,0,13,140,113,95,75,45,70
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,1067,207,422,131,645,199,289,133,124,92,117,112,117,71,83,64,22,33
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,723,191,337,111,386,168,175,92,66,63,19,30,50,75,50,75,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,379,146,130,96,249,102,451,324,327,288,0,13,42,48,42,48,0,13
