GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,30.5,11.2,30.6,15,28.4,25.8
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,22.8,2.9,21.4,2,29.5,22.4
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,27,5.6,24.3,2,27.9,4
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,36.8,13.9,30.9,30,41,13.4
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,26,6.9,25.4,3.1,37.6,21.6
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,30.2,7.5,25.1,7.9,33.8,4
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,26.7,2.1,27.3,3.8,26.4,1.4
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,48.7,8.6,36.6,16,52.5,7.6
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,35.6,4.5,31.8,10.2,39.1,8.9
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,40,5,42,4.7,34.6,13.3
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,36,5.2,30.9,8.3,41.2,11.7
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,51.4,4.1,51.5,3.7,50.5,5.5
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,34.4,2.2,34.5,3.8,34.1,6.2
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,35.3,3,34.4,8,36.6,3.7
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,49.5,9,54,4.3,45.7,10.6
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,35.4,4.9,35.7,4.1,32.3,16.9
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,37.4,4.8,37.4,4.7,37.3,8.7
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,44.3,7.6,42.3,14.3,47.3,6.4
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,50,5.7,37.3,11.3,50.7,9.8
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,44.9,9.8,40.4,11.8,47.4,3.2
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,48.7,12.3,37.5,16.1,58.5,17.9
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,35,11.4,39.6,23.1,33.9,5.7
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,48.1,8.4,44.3,3.3,50.2,6.2
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,36.8,8.3,30.4,20.6,39.3,6.1
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,50.6,6.2,52.3,8.3,50.3,7.8
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,43,5.4,36.4,16,44.3,7.8
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,37.5,3.5,39.8,20.2,30.7,5.8
